WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_145	item_95	clothing	collar	necklace	necklace				
item_146	item_96	clothing	falda (ropa)	skirt	skirt				*
item_147		clothing	gorra	cap	hat		hat		
item_148		clothing	guantes	gloves	glove		glove		
item_149	item_97	clothing	lentes	eyeglasses	glasses				
item_150		clothing	medias	tights	tights				
item_151	item_98	clothing	pañal	diaper	diaper				
item_152	item_99	clothing	pantalón	pants	pants				
item_153	item_100	clothing	pijama	pajamas	pajamas				
item_154	item_101	clothing	playera	t-shirt	t-shirt				
item_155		clothing	ropa	clothes	clothing		clothing		
item_156	item_102	clothing	shorts	shorts	shorts				
item_157	item_103	clothing	sombrero	hat	hat				
item_158	item_104	clothing	suéter	sweater	sweater				
item_159	item_105	clothing	vestido	dress	dress (object)				
item_160	item_106	clothing	zapato	shoe	shoe				
item_161		body_parts	barba	beard	beard		beard		
item_162	item_107	body_parts	bigote	moustache	mustache				
item_163	item_108	body_parts	boca	mouth	mouth				
item_164		body_parts	brazo	arm	arm				
item_165	item_110	body_parts	cabeza	head	head				
item_166	item_111	body_parts	cachete	cachete	cheek				
item_167	item_112	body_parts	cara	face	face				
item_168	item_113	body_parts	chichi/pecho	breast	breast				
item_169		body_parts	dedo	finger	finger				
item_170	item_115	body_parts	dientes	teeth	tooth				
item_171		body_parts	garganta/anginas	throat	throat		throat		
item_172		body_parts	hombro	shoulder	shoulder		shoulder		
item_173		body_parts	labios	lips	lips		lips		
item_174	item_116	body_parts	lengua	tongue	tongue				
item_175		body_parts	mano	hand	hand				
item_176		body_parts	nalgas	buttocks			butt		*
item_177	item_118	body_parts	nariz	nose	nose				
item_178	item_119	body_parts	ojos	eyes	eye				
item_179	item_120	body_parts	ombligo	belly button	belly button				
item_180		body_parts	oreja	ear	ear				
item_181	item_122	body_parts	panza	belly	tummy				
item_182	item_123	body_parts	pelo	hair	hair				
item_183		body_parts	pene	penis	penis				
item_184	item_124	body_parts	piernas	legs	leg				
item_185	item_125	body_parts	pies	feet	foot				
item_186	item_126	body_parts	rodilla	knee	knee				
item_187		body_parts	vagina	vagina	vagina				
item_188		toys	bat	bat	bat				
item_189		toys	burbujas	bubbles	bubbles		bubbles		
item_190		toys	colores	colors	colors		colors		
item_191		toys	crayolas	crayons	crayon		crayon		
item_192	item_127	toys	globo/bomba	air balloon	balloon	balloon		globo is coherent with air ballon. However the word bomba means bomb. Bomba is used by northern west mexicans and mexican americans.	*
item_193		toys	hoja/papel	paper	paper		paper		
item_194	item_128	toys	juguete	toy	toy (object)				
item_195	item_129	toys	lápiz	pencil	pen/pencil				
item_196	item_130	toys	libro	book	book				
item_197	item_131	toys	muñeca (jueguete)	baby doll	doll				*
item_198	item_132	toys	osito	teddy bear	teddybear				
item_199		toys	patines	roller skates	roller skates	skates	skates	I deleted the previous written new_uni_lemma roller skates. I suggest skates as a new uni_lemma and gloss. I made that change mainly because "patines" could be either roller skates or ice skates	*
item_200	item_133	toys	pelota	ball	ball				
item_201		toys	pinturas	painting	painting		painting		
item_202		toys	plastilina	clay	clay		clay		
item_203		toys	pluma/plumones	pen	pen		pen		
item_204	item_134	toys	tambor	drum	drum				
item_205		toys	triciclo (jueguete)	tricycle (toy)	tricycle		tricycle	(also appears under vehicle!)	
item_206	item_90	clothing	botas	boots	boots				
item_207		clothing	bolsa (de mano)	purse	purse				*
item_208	item_89	clothing	babero	bib	bib				
item_209	item_88	clothing	aretes	earrings	earrings				
item_210		clothing	abrigo	coat	coat		coat		
item_211	item_135	household	almohada	pillow	pillow				
item_212	item_136	household	aspiradora	vacuum cleaner	vacuum				
item_213	item_137	household	basura	garbage can	trash	garbage		garbage (gloss) is more accurate than garbage can for basura	*
